DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1982,1.718,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1983,1.773,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1984,1.826,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1985,1.875,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1986,1.919,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1987,1.956,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1988,1.969,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1989,1.971,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1990,1.957,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1991,1.95,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1992,1.94,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1993,1.938,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1994,1.939,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1995,1.931,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1996,1.92,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1997,1.91,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1998,1.912,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,1999,1.919,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2000,1.92,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2001,1.92,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2002,1.912,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2003,1.908,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2004,1.902,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2005,1.889,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2006,1.867,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2007,1.831,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2008,1.777,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2009,1.713,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2010,1.631,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2011,1.542,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2012,1.455,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2013,1.369,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2014,1.284,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2015,1.205,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2016,1.134,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2017,1.072,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2018,1.009,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2019,0.947,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2020,0.887,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2021,0.829,3: Thousands,PS: Persons,E: Estimated value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2022,0.77,3: Thousands,PS: Persons,F: Forecast value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_BRTS: Number of births,_T: Total,2023,0.762,3: Thousands,PS: Persons,F: Forecast value,,,,,,Data from 237 countries/areas from WPP2022,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1970,106.308,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1971,106.346,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1972,106.539,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1973,106.32,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1974,106.445,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1975,107.045,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1976,107.727,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1977,108.564,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1978,109.551,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1979,110.63,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1980,111.306,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1981,111.482,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1982,111.484,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_DPR_CHD: Child dependency ratio,F: Female,1983,111.428,0: Units,PCNT: %,E: Estimated value,,,,,,"Data from 236 countries/areas with population more than 1K from WPP2022, countries/areas less than 1K population is not shown but calculated when aggregated.","United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",https://population.un.org/wpp/,,,,,_T: Total
